age,2008,2009,2010,2011,2012,2013,2014,2015
21,174,182,133,134,95,83,71,49
22,202,215,141,159,146,105,70,57
23,188,189,157,172,126,118,90,68
24,180,174,169,166,163,113,109,93
25,161,142,167,169,123,139,124,104
26,146,156,157,140,129,124,120,112
27,138,143,139,119,96,130,125,130
28,120,137,139,113,120,102,139,115
29,122,117,100,126,127,121,116,103
30,117,109,97,111,112,112,110,111
31,93,97,108,116,103,103,102,93
32,91,89,84,93,97,80,76,78
33,72,70,81,84,86,64,98,97
34,74,98,83,78,63,77,80,71
35,77,53,58,54,54,54,71,57
36,62,51,52,70,53,52,37,53
37,52,62,51,45,42,55,53,55
38,47,54,62,49,45,48,50,44
39,47,57,59,46,38,46,54,50
